GSM862051,GSM862052,GSM862053,GSM862054,GSM862055,GSM862056,GSM862057,GSM862058,GSM862059,GSM862060,GSM862061,GSM862062,GSM862063,GSM862064,GSM862065,GSM862066,GSM862067,GSM862068,GSM862069,GSM862070,GSM862071,GSM862072,GSM862073,GSM862074,GSM862075,GSM862076,GSM862077,GSM862078,GSM862079,GSM862080,GSM862081,GSM862082,GSM862083,GSM862084,GSM862085,GSM862086,GSM862087,GSM862088,GSM862089,GSM862090,GSM862091,GSM862092,GSM862093,GSM862094,GSM862095,GSM862096,GSM862097,GSM862098,GSM862099,GSM862100,GSM862101,GSM862102,GSM862103,GSM862104,GSM862105,GSM862106,GSM862107
15.11187567,15.08269356,14.87608399,15.00458993,15.00458993,14.97108111,15.08269356,14.7014372,14.86052298,15.11187567,15.15292664,15.02189976,14.97108111,15.15292664,14.9385752,14.68895159,14.84854126,14.97108111,15.06267358,15.11187567,14.95472259,14.95472259,15.02189976,15.08269356,14.91102246,14.52960708,15.00458993,14.83919009,14.9385752,15.15292664,14.97108111,15.06267358,14.79633824,15.08269356,14.87608399,14.98771779,14.98771779,15.00458993,15.04408512,15.11187567,15.11187567,15.00458993,14.98771779,14.84854126,14.83919009,14.98771779,14.97108111,15.15292664,15.02189976,14.95472259,14.89183042,14.7812302,14.89183042,15.00458993,15.00458993,14.91102246,14.92404615
11.03561319,10.51101521,10.64757002,11.40648757,12.12326352,12.59534133,12.93099931,13.12400047,13.54792229,13.73641597,10.69831671,10.35746024,11.04706655,11.97944149,12.38139615,12.5328459,13.08137699,13.67760971,13.47477575,11.79655441,11.39079842,11.48255482,11.70775396,12.03214874,12.10344103,12.17082405,13.03707936,13.62080082,13.40358778,11.39266424,11.22561503,11.74489082,12.21768101,12.58656157,12.5328459,13.100129,13.53997351,13.49294323,10.70108939,9.813665517,10.52851271,10.97848053,11.82191226,11.69562838,12.50772917,12.93099931,13.3953346,13.44025418,10.52973376,10.70491339,10.90205121,12.29955262,12.04805118,12.53662359,12.94324619,13.45832079,13.45832079
6.354825576,6.327112094,6.211067491,6.345528848,6.40525357,6.09379646,6.312315729,6.24541871,6.145879448,6.247268367,6.456263914,6.18067181,6.305680634,6.273042358,6.192912953,6.236371842,6.312201607,6.407298389,6.280293604,6.396034145,6.104890271,6.243656545,6.255050943,6.213845017,6.172915625,6.202147609,6.111013208,6.211258456,6.371612896,6.23387443,6.044052639,6.312932632,6.232468021,6.385984759,6.266625729,6.128275123,6.293627573,6.121858207,6.217565813,6.384511288,6.161230569,6.258916796,6.297390193,6.152858549,6.040777029,6.206649865,6.123845416,6.311398392,6.358611228,6.261072016,6.312768081,6.13689453,6.273187911,6.274007815,6.087225526,6.329872352,6.304477661
6.617911219,6.914142744,6.727739224,7.030414527,6.528076146,6.488581789,6.51829443,6.488218394,6.360215644,6.381511473,6.591911374,6.856512373,6.625949261,6.574017417,6.371348144,6.340961341,6.374151866,6.425601499,6.111575433,6.462797649,6.72098933,6.673478055,6.402832146,6.625743251,6.615786703,6.297467896,6.5394631,6.370100136,6.436861633,6.606313995,6.452757954,6.464255878,6.174994518,6.280699865,6.350337628,6.474609107,6.31039293,6.410036765,6.952065999,6.791751921,6.783604781,6.378432646,6.540238544,6.430557918,6.383109524,6.442173036,6.324867734,6.392518082,6.170595643,6.626810797,6.353289174,6.369654211,6.38296695,6.293133465,6.334888699,6.426115124,6.482371887
6.296790213,6.205571451,6.240227936,6.382887049,6.31062586,6.242490756,6.281450771,6.099089764,6.462070897,6.23123188,6.259856788,6.336930952,6.297732651,6.194336808,6.35853601,6.275795079,6.208343944,6.33419493,6.373705724,6.61041354,6.336707218,6.260429185,6.095696796,6.407314052,6.221024202,6.141223608,6.246989705,6.269328048,6.217982696,5.848855549,6.38417109,6.327540894,6.159003491,6.286172046,6.181811397,6.289031342,6.163787187,6.39253588,6.224143846,6.28046748,6.394829934,6.319836485,6.365617124,6.141049816,6.347728196,6.197315728,6.169159742,6.468302571,6.412778356,6.347001933,6.328209622,6.242674952,6.238849029,6.431009437,6.155608086,6.310483954,6.201675562
6.295501381,6.484184984,6.239486476,6.350776664,6.359989364,6.20989606,6.470924503,6.311966236,6.2374501,6.174281145,6.393565919,6.395858757,6.249017321,6.296141434,6.301924573,6.296896203,6.251835187,6.421672462,6.418922938,6.353016203,6.465877434,6.256536275,6.247236244,6.20950227,6.47455626,6.370084507,6.187699652,6.437150165,6.407919688,6.385570482,6.31095185,6.240933567,6.575521169,6.31189042,6.258992545,6.355975706,6.224225067,6.339367927,6.348963627,6.433305037,6.229125805,6.23578155,6.443459287,6.304038436,6.30261302,6.313329181,6.400221677,6.340342467,6.542316693,6.286874416,6.372659526,6.433377332,6.181775151,6.406234945,6.133281921,6.410119251,6.397576386
8.519383602,9.609888963,9.588303055,9.367000589,10.18718601,9.220026159,8.932115002,8.761487518,9.028989159,8.130390836,8.024126957,9.529332187,9.095208516,9.019382432,9.549588224,9.040953557,9.129330846,8.863323401,8.662321568,9.587530714,9.873638891,8.850867565,8.982266738,9.499652756,8.926388024,9.288182809,9.658889858,8.5258706,8.902186029,8.812313809,10.41743604,8.85242286,9.014044644,9.134683958,9.74239086,9.440725577,9.143059665,9.002122409,9.826893307,8.897734328,10.11027059,10.16008033,9.924509188,9.429005706,9.240548294,9.576485549,9.669132138,7.980737028,8.832447317,9.838903158,10.17818597,9.928242294,10.34651,9.12218895,9.537447927,9.455212597,9.262493252
6.470772453,6.691292057,6.564442522,6.31551624,7.215261841,7.501350464,7.150706894,7.312201761,7.458120356,7.21507625,6.372487073,6.454512701,7.106810328,7.415739668,7.666373715,7.629554298,7.128533716,7.140210977,7.130868896,6.385740643,6.548049074,6.394543839,6.739082858,7.506104019,7.271096226,7.305988367,7.026271246,7.331627674,7.518005164,6.249220834,6.968692298,7.330095243,7.353501111,7.577415344,7.609252887,7.195433072,7.098275992,7.121613643,6.241255377,6.205432454,6.067725899,7.04859235,7.23280609,7.39353717,7.31886436,7.275608018,7.0999197,6.710654204,6.076569797,6.094786626,7.000426139,6.857169509,7.162701695,7.216416628,7.044371623,7.102481437,7.11284423
6.293056335,6.424294816,6.376026844,6.344397649,6.167349732,6.462771424,6.336490981,6.386414411,6.273601747,6.342110553,6.463066952,6.368605555,6.132568697,6.248289506,6.275479234,6.272229916,6.196844628,6.119820729,6.298221725,6.136188023,6.352365851,6.225483872,6.207295888,6.45024546,6.251721941,6.309585438,6.375455814,6.189566495,6.260792438,6.089407433,6.262590948,6.460997384,6.220928346,6.306447747,6.246580128,6.283961903,6.297401243,6.122078641,6.326275417,6.311753808,6.35408722,6.377454771,6.302012119,6.114454913,6.05491197,6.276292669,6.297505213,6.366460294,6.224047091,6.206195186,6.032779046,6.235715481,6.201194853,6.322120446,6.282461444,5.994223295,6.388202894
6.29756314,6.302264531,6.507384707,6.561497598,6.52157121,6.779177075,6.491754411,6.658830895,6.682070392,6.576695321,6.538003729,6.453032343,6.524543992,6.36465175,6.633591991,6.478659946,6.554486667,6.601119786,6.428967065,6.647141248,6.509389863,6.466192437,6.312155579,6.534967899,6.490379983,6.465223793,6.525023881,6.696134675,6.533190503,6.559018456,6.453402918,6.632220311,6.495114082,6.598153177,6.647879977,6.602434837,6.783154507,6.671316626,6.644540976,6.634392944,6.73898482,6.399812529,6.63298861,6.480310578,6.575949872,6.634816232,6.684378693,6.594424305,6.527669168,6.491177483,6.284330102,6.589970841,6.237231903,6.737110922,6.552040755,6.655380953,6.550603596
