0h,0.5h,1h,2h,4h,6h,12h,24h,48h,72h
8.790,8.292,8.845,9.277,9.144,8.397,9.295,10.560,10.760,11.071
9.023,9.359,10.294,11.284,12.033,11.886,11.742,12.577,12.754,12.541
8.893,9.147,9.994,11.088,11.750,11.506,11.625,12.212,12.362,12.310
6.331,6.300,6.375,6.216,6.191,6.178,6.232,6.464,8.626,10.346
6.237,6.391,6.218,6.369,6.266,6.326,6.207,7.267,9.218,9.537
6.104,6.234,6.026,6.095,6.288,6.131,6.182,7.053,8.853,9.278
6.615,6.547,6.527,6.773,9.297,9.887,9.536,10.007,10.346,10.258
8.829,7.193,7.422,8.055,8.130,8.166,8.063,10.909,11.487,9.939
6.510,6.394,6.279,6.488,6.509,6.537,6.577,6.866,8.518,9.162
7.059,6.819,6.812,6.525,6.276,6.209,6.088,6.370,7.673,8.971
6.381,6.383,6.438,6.835,6.802,6.488,6.410,6.646,8.430,8.996
12.707,13.345,12.682,11.373,10.104,9.404,8.736,8.928,9.247,10.106
6.133,6.212,6.026,6.065,6.152,5.938,6.242,6.656,7.889,8.450
6.203,6.156,6.121,6.308,8.370,8.825,8.487,8.966,9.187,9.091
6.390,6.486,6.483,6.466,6.651,6.613,6.682,7.096,8.858,9.346
6.279,6.045,6.278,6.881,6.790,6.406,6.290,6.252,7.272,8.537
7.337,7.643,7.897,8.118,8.465,8.430,8.319,9.590,10.643,11.687
7.307,7.420,7.816,7.769,7.960,8.104,7.772,8.953,9.864,11.138
7.298,7.605,7.722,8.865,10.088,9.104,8.569,9.913,11.164,10.606
6.400,6.355,6.502,7.199,7.188,6.575,6.357,6.802,7.867,8.287
6.200,6.245,6.998,8.152,8.778,10.227,9.803,9.536,9.445,8.516
6.944,7.962,8.430,7.914,8.841,10.242,9.531,9.007,9.595,9.277
6.348,6.343,6.250,6.273,6.233,6.277,6.366,7.923,8.917,8.351
6.172,6.193,6.249,6.827,6.367,6.478,6.541,7.231,7.812,8.195
6.349,6.373,6.317,6.565,7.631,7.963,7.871,7.727,8.510,8.307
6.816,6.593,6.675,6.678,6.841,6.947,7.141,7.264,7.941,8.647
7.529,7.530,8.267,8.355,8.904,8.656,9.200,9.549,9.271,8.936
8.878,8.895,9.164,8.837,10.444,10.654,9.197,9.348,9.244,9.087
6.109,6.005,5.971,5.974,5.970,6.025,5.939,6.747,7.959,8.958
6.214,6.324,6.273,6.234,6.353,6.391,6.479,6.933,8.435,9.461
7.034,7.179,7.345,8.578,9.240,8.333,7.826,8.700,9.865,9.486
6.755,6.862,7.106,7.741,8.405,8.266,8.301,8.711,9.110,8.525
11.735,12.045,12.103,12.508,12.371,12.117,11.816,11.167,11.036,11.162
7.060,6.885,6.838,6.683,6.512,6.531,6.523,6.520,7.083,8.118
6.190,6.213,6.227,6.332,6.945,7.413,7.257,7.225,7.887,7.782
6.202,6.173,6.261,6.351,6.462,6.828,7.014,8.840,9.430,9.702
10.926,11.232,11.952,12.530,11.361,11.390,10.836,11.377,10.907,10.901
6.839,7.272,6.936,6.824,6.840,6.961,6.789,7.883,8.482,8.751
6.026,6.067,6.182,6.196,6.216,6.146,6.451,7.076,7.521,8.272
8.845,8.725,8.851,9.209,9.727,9.070,8.166,8.526,8.902,9.487
6.061,5.963,6.072,6.024,6.055,6.010,6.360,7.032,8.480,9.945
6.625,6.514,7.219,7.305,7.770,7.510,8.316,8.269,8.144,8.021
6.251,6.169,6.181,6.048,6.414,6.673,6.892,8.157,8.380,8.146
6.678,6.311,6.595,6.541,6.527,6.381,6.404,7.496,8.060,8.118
6.276,6.253,6.190,6.262,6.158,6.313,6.519,7.394,8.867,10.603
6.477,6.839,8.769,10.388,8.557,8.213,7.947,7.872,7.820,7.680
6.226,6.317,6.306,6.201,6.275,6.423,6.476,7.120,8.638,10.294
